author,Contributing State,title,Publication Info, genre,Link to text
"Miss Charlotte W. Haven, ",New Hampshire,The Homeward Path,"Boston: Crosby, Nichols, and Company, 1856.",Religious Instruction,https://hdl.handle.net/2027/hvd.hwnn95
E. H. P. (Miss Pearson),New Hampshire,"The Three Passovers, or, A Glance at the Church Militant","Boston: Willard Tract Repository, 1873.",Religious Instruction,
H. M. B. ,New Hampshire,The Widow Wyse,"Boston: Cupples, Upham and Company, 1885.",Novel,https://hdl.handle.net/2027/uc2.ark:/13960/t1cj88v4g
E. H. P. (Miss Pearson),New Hampshire,"The Word and the Teacher, of Bible Thoughts About Creation, as seen in Genesis","Boston: Willard Tract Repository, 1873.",Religious Instruction,https://archive.org/details/wordteacher00pehf
Mrs. L. C. McKinstry: Mrs. Levi C. McKinstry,New Hampshire,The World's Great Empire; A Course of Eight Lectures,"Boston: L. C. McKinstry, 1883.","Textbook, History",https://hdl.handle.net/2027/loc.ark:/13960/t7qn6zb5j
"Emma Elizabeth Brown, E. E. Brown, B. E. E.",New Hampshire,Thoughts that Breathe From the Writings of Dean Stanley,"Boston: D. Lothrop & Co., 1879.",Religious Instruction,https://hdl.handle.net/2027/mdp.39015016444815
"Emma Elizabeth Brown, E. E. Brown, B. E. E.",New Hampshire,True Manliness. From the Writings of Thomas Hughes,"Boston: D. Lothrop and Co., 1880.",Advice Literature,https://hdl.handle.net/2027/njp.32101023487844
"Emma Elizabeth Brown, E. E. Brown, B. E. E.",New Hampshire,The Might of Right: From the Writings of William Ewart Gladstone,"Boston: D. Lothrop & Co, [1880.",Essays,https://hdl.handle.net/2027/hvd.hx3pjz
Harriet P. Fowler,New Hampshire,Vegetarianism: The Radical Cure for Intemperance,"New York: M.L. Holbrook & Co., 1879.", Cookbook,https://hdl.handle.net/2027/loc.ark:/13960/t89g64j54
"Emma Elizabeth Brown, E. E. Brown, B. E. E.",New Hampshire,Young Folks' Life of Washington,"Boston: D. Lothrop Company, 1883. ","Biography, History",https://archive.org/details/youngfolkslifein00brow
Miss Sarah H. Foster,New Hampshire,"Watchwords for Little Soldiers, or, Stories on Bible texts","Boston: American Unitarian Association, 1884.",Stories,https://hdl.handle.net/2027/hvd.32044038423513
"Esther W. Barnes, Esther Walden Barnes, Miss E. W. Bäärnhielm",New Hampshire,What Will Come of It?,,Novel,
J. E. Hodgdon,New Hampshire,Whittier Leaflets: Poems and Prose Passages from the Works of John Greenleaf Whittier for Reading and Recitation,"Boston: Houghton, Mifflin, 1882.",Poetry,https://hdl.handle.net/2027/hvd.32044097066070
Helen Hinsdale Rich,New York,A Dream of the Adirondacks,"New Yor:, G. P. Putnam's Sons, 1884.",Poetry,https://hdl.handle.net/2027/uc2.ark:/13960/t4mk66f4v
Anonymous,New York,A Man's a Man For A' That,"New York: G.P. Putnam's Sons, 1879.",Novel,https://www.loc.gov/item/07020452
Charles M. Clay,New York,The Modern Hagar,"New York: G.W. Harlan & Company, 1882.",Novel,https://hdl.handle.net/2027/nyp.33433074812425 https://hdl.handle.net/2027/hvd.hn1jnv
"Anna K. Green, Anna Katharine Green Rohlfs",New York,A Strange Disappearance,"New York: A.L. Burt, 1879.",Novel,https://hdl.handle.net/2027/pst.000006168889
"M. E. W. Sherwood, Mrs. John Sherwood, E. W. (Elizabeth Wilson) Sherwood, Mary Wilson",New York,A Transplanted Rose: A Story of New York Society,"New York: Harper & Brothers, 1882.",Novel,https://hdl.handle.net/2027/hvd.hnl334
Emma Lazarus,New York,Alide: An Episode of Goethe's life,"Philadelphia: J.B. Lippincott & Co., 1874.",Novel,https://hdl.handle.net/2027/osu.32435015052145
Emma Lazarus,New York,Admetus and other Poems,"New York: Hurd and Houghton, 1871.",Poetry,https://hdl.handle.net/2027/coo1.ark:/13960/t15m6s56r
"Henri Gordon, Clara M. Brinkerhoff",New York,"Alva Vine; or, Art versus Duty","New York: American News, 1880.",Novel,https://hdl.handle.net/2027/hvd.hn1id6
Martha J. Lamb,New York,American History; Magazine,"New York: A. S. Barnes & Company, 1877","Periodical, History",https://archive.org/details/magazineamerica00lambgoog
"Henri Gordon, Mary S. Emerson",New York,Among the Chosen,"New York: Holt, 1884.",Novel,
Pansy;  Isabella Pansy Alden; Mrs. G.R. Alden,New York,An Endless Chain,"Boston: D. Lothrop, 1884.",Novel,https://hdl.handle.net/2027/umn.31951p003406034
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,A New Graft on the Family Tree,"London?: George Routledge?,1880",Novel,https://archive.org/details/newgraftonfamily0000alde
Laura C. Holloway; Laura Holloway-Langford; Laura Carter Holloway Langford,New York,"An Hour with Charlotte Brontë: or, Flowers from a Yorkshire Moor","New York: Funk & Wagnalls, 1883.",Biography,https://hdl.handle.net/2027/loc.ark:/13960/t9q24dz5x
Mrs. Ella Farman; Ella Farman; Eliza Anna Farman,New York,Anna Maylie: A Story of Work,"Boston: D. Lothrop & Co.,1873.",Novel,https://hdl.handle.net/2027/ucw.ark:/13960/t0sq9sf0x
Mrs. Ella Farman; Ella Farman; Eliza Anna Farman,New York,A Girl's Money,"Boston: D. Lothrop & Co., 1874.",Novel,
Mrs. Ella Farman; Ella Farman; Eliza Anna Farman,New York,A White Hand; A Story of Noblesse Oblige,"Boston: D. Lothrop & Co., 1875.",Novel,https://hdl.handle.net/2027/uc2.ark:/13960/t3kw57z44
Susan N. Carter; Susan Nichols Carter,New York,Art Suggestions from the Masters,"New York: G.P. Putnam's Sons, 1881.",Textbook ,https://archive.org/details/artsuggestionsfr00cart
J. L. Pollard: Josephine L. Pollard,New York,Artistic Tableaux: With Picturesque Diagrams and Descriptions of Costumes,"New York: White, Stokes, & Allen, 1884.",Textbook,
Editors of Wide Awake,New York,Baby Land,Boston: D. Lothrop & Co. ,Periodical,https://catalog.hathitrust.org/Record/000542475
Mary Mapes Dodge,New York,"Baby World: Stories, Rhymes and Pictures for Little Folks compiled from St. Nicholas","New York: Century, 1884.","Stories, Poetry",https://hdl.handle.net/2027/nyp.33433066604475
Miss Oakey; M.R.O. Dewing; Mrs. T. W. Dewing,New York,Beauty in Dress,"New York: Harper & Brothers, 1881.","Textbook, Advice Literature",https://hdl.handle.net/2027/umn.31951000445565o
Miss Oakey; M.R.O. Dewing; Mrs. T. W. Dewing,New York,Beauty in the Household,"New York: Harper & Brothers, 1882.","Textbook, Advice Literature",https://hdl.handle.net/2027/uc1.$b261599
A. B. Berard; Augusta B. Berard,New York,Berard's United States History,Philadelphia: Cowperthwait & Co. 1884.,"Textbook, History",https://hdl.handle.net/2027/loc.ark:/13960/t4fn1jc0d
Pansy;  Isabella Pansy Alden; Mrs. G.R. Alden,New York,Bernie's White Chicken,"Boston: D. Lothrop, 1866.",Novel,
Elizabeth C. Kinney,New York,Bianca Cappello: A Tragedy,"New York: Hurd and Houghton, 1873.",Drama,https://hdl.handle.net/2027/nyp.33433112004001
E. Bedell Benjamin,New York,Brightside Children,"New York: Robert Carter & Brothers, 1873. ",Novel,https://archive.org/details/brightside00benj/page/n5
C. A. White,New York,"Classic Literature, principally Sanskrit, Greek, and Roman","New York: Henry Holt & Co., 1877",Textbook,https://hdl.handle.net/2027/umn.31951002401469c
M. Jacobi,New York,On the Use of the Cold Pack followed by Massage in the Treatment of Anaemia,"New York: G.P. Putnam's Sons, 1880.  ",Advice Literature,https://hdl.handle.net/2027/chi.087010816
"Marion Harland, Mary Virginia Hawes Terhune",New York,"Cookery for Beginners, a series of familiar lessons for young housekeepers. With blank pages for new receipts. ","Boston: D. Lothrop and Co., 1884.",Cookbook,https://hdl.handle.net/2027/hvd.32044087431136
Emily Huntington,New York,"The Cooking Garden. A systematized course of cooking for pupils of all ages, including plan of work, bills of fare, songs, and letters of information","New York: J.J. Little & Co., 1885. ","Textbook, Cookbook, Music",https://hdl.handle.net/2027/loc.ark:/13960/t7qn6w65x
Juliet Corson,New York,Cooking-School Text-Book,"New York: O. Judd Company, 1883. ",Cookbook,https://hdl.handle.net/2027/loc.ark:/13960/t75t4911q
"Jenny June, Jane Cunningham Croly",New York,Demorest's Family Magazine.,New York: W. J. Demorest,Periodical,https://hdl.handle.net/2027/umn.319510009700121
Pansy;  Isabella Pansy Alden; Mrs. G.R. Alden; Mrs. C. M. Livingston; Marcia Macdonald Livingston,New York,Divers Women,"Boston: D. Lothrop and Co.,1880.",Stories,https://hdl.handle.net/2027/mdp.39015080460085
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Docia's Journal Or God is Love,"Cincinnati: Western Tract Society, 1880.",Novel,
Mary Mapes Dodge,New York,Donald and Dorothy,"Boston: Roberts Bros., 1884.",Novel,https://hdl.handle.net/2027/mdp.39015065534722
"Faye Huntington, Theodosia Maria Toll Foster, Aunt Penn; Pansy;  Isabella Pansy Alden; Mrs. G.R. Alden",New York,"Dr. Deane's Way, and Other Stories","Boston: D. Lothrop, 1875.",Stories,https://archive.org/details/drdeaneswayother00hunt/page/n6/mode/2up
"Faye Huntington, Theodosia Maria Toll Foster, Aunt Penn",New York,Echoing and Re-echoing,"Boston: D. Lothrop, 1878.",Novel,https://hdl.handle.net/2027/uc2.ark:/13960/t8mc8t74d
Mary R. Gardner: Mrs. Charles H. Gardner,New York,English History in Rhyme,"New York: Published by the Author, 1899.","Poetry, History",https://hdl.handle.net/2027/njp.32101073857201
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Esther Reid Yet Speaking,"Boston: Lothrop Pub. Co., 1883.",Novel,https://hdl.handle.net/2027/uc2.ark:/13960/t12n5208t
Annette L. Noble,New York,Eunice Lathrop; Spinster,"New York: G.P. Putnam's, 1882.",Novel,https://hdl.handle.net/2027/hvd.hn36m2
"Marion Harland, Mary Virginia Hawes Terhune",New York,"Eve's Daughters; or, Common Sense for Maid, Wife, and Mother","New York: J. R. Anderson & H. S. Allen, 1882.",Advice Literature,https://hdl.handle.net/2027/mdp.39015005261295
Aunt Yewrownckie,New York,"Eyes and Ears; or, How I See and Hear","Philadelphia: Presbyterian Board of Publication, 1876.",Textbook,https://hdl.handle.net/2027/inu.30000107300711
Laura C. Holloway; Laura Holloway-Langford; Laura Carter Holloway Langford,New York,"Famous American Fortunes and the Men who have Made Them; a Series of Sketches of Many of the Notable Merchants, Manufacturers, Capitalists, Railroad Presidents, Bonanza and Cattle Kings of the Country","Philadelphia: Garretson, 1885.",Biography,https://hdl.handle.net/2027/nyp.33433067277370
Dr. J. H. Wonnan,New York,First French Book after the Natural or Pestalazzian Method for Schools and Home Instruction,"New York: A.S. Barnes & Co., 1881.",Textbook,http://archive.org/details/coursdefrancaisd00worm
"Faye Huntington, Theodosia Maria Toll Foster, Aunt Penn; Pansy; Isabella Pansy Alden; Mrs. G.R. Alden",New York,From Different Standpoints,"Boston: D. Lothrop Pub. Co.,1878.",Novel,https://hdl.handle.net/2027/coo1.ark:/13960/t8x92rw3f
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Five Friends,"Boston: D. Lothrop Co., 1893. ",Novel,https://hdl.handle.net/2027/mdp.39015080460036
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Getting Ahead,"Boston: D. Lothrop &​ Co., 1877. ",Stories,
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Grandpa's Darlings,"Cincinnati, Ohio: Western Tract Society, 1875.",Novel,https://hdl.handle.net/2027/mdp.39015039740132
Mrs. Ella Farman; Ella Farman; Eliza Anna Farman,New York,Grandma Crosby's Household,"Boston: D. Lothrop, 1873.",Novel,https://hdl.handle.net/2027/uiug.30112003604607
"Anna K. Green, Anna Katharine Green Rohlfs",New York,Hand and Ring,"New York: G. P. Putnam, 1883.",Novel,https://hdl.handle.net/2027/uc2.ark:/13960/t7br8wq4j
Wilhelmine D. Schott,New York,"Health-Hints to Women, Treating of Food, Exercise, Dress, Care of Children, etc., etc. ","New York: E.F. Dutton, 1875","Textbook, Advice Literature, Cookbook",https://archive.org/details/healthhintstowom00scho/page/n5
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Helen Lester,"Cincinnati, Ohio: Western Tract Society, 1865..",Novel,https://www.isabellamacdonaldalden.com/helen-lester.html
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Household Puzzles,"Boston: D. Lothrop Company, 1874.",Novel,https://hdl.handle.net/2027/njp.32101067627016
Eliza A. Woodbury,New York,Home Blossoms,"Rochester, N.Y: Steel & Avery, 1884",Poetry,https://hdl.handle.net/2027/coo.31924022230274
Laura C. Holloway; Laura Holloway-Langford; Laura Carter Holloway Langford,New York,Home in Poetry,"New York: Funk & Wagnalls, 1884.",Poetry,https://hdl.handle.net/2027/osu.32435017121344
Dorothea Alice Shepherd: Mrs. Ella Farman; Ella Farman; Eliza Anna Farman,New York,How Two Girls Tried Farming,"Boston: D. Lothrop,1879.",Novel,https://hdl.handle.net/2027/loc.ark:/13960/t3tt5841t
Elizabeth S. Miller,New York,In the Kitchen,"Boston: Lee and Shepard, 1875.",Cookbook,https://hdl.handle.net/2027/coo1.ark:/13960/t2h71082b
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,"Jessie Wells: Or, How to Save the Lost","Boston: D. Lothrop, 1866. ",Novel,https://hdl.handle.net/2027/mdp.39076002579634
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Julia Ried: Listening and Led ,"Cincinnati: Monfort, 1873. ",Novel,https://hdl.handle.net/2027/wu.89098868938
"Marion Harland, Mary Virginia Hawes Terhune",New York,Judith: A Chronicle of Old Virginia,"New York: Scribner, 1883.","Novel, History",https://hdl.handle.net/2027/uc2.ark:/13960/t78s4mc9c
Emily Huntington,New York,"The Kitchen-Garden; or Object Lessons in Household Work including songs, plays, exercises, and games, illustrating household occupations","New York: Schermerhorn, 1893","Textbook, Advice Literature ",https://hdl.handle.net/2027/hvd.32044087416566
Mary L. Booth,New York,Laboulaye's Last Fairy Tales ,"New York: Harper & Brothers, 1884.",Stories,https://hdl.handle.net/2027/uc2.ark:/13960/t7rn35h4z
H. C. Wright,New York,Little Folk in Green: New Fairy Stories,"New York: White and Stokes, 1883. ",Stories,http://ufdc.ufl.edu/UF00050426/00001
Julia R. Anagnos,New York,Longfellow's Birthday,,,
Mrs. Wildrick,New York,Lord Strahan,"Philadelphia: J.B. Lippincott, 1879.",Novel,https://hdl.handle.net/2027/hvd.hx5417
Martha J. Lamb,New York,Magazine of American History,"New York: A.S. Barnes, 1877-1893.","Periodical, History",https://catalog.hathitrust.org/Record/000550040
Mrs. Wildrick,New York,Marguerite Kent,"Philadelphia: Lippincott, 1870.",Novel,https://hdl.handle.net/2027/osu.32435055591978
Juliet Corson,New York,Meals for the Million: The People's Cook-Book,"New York: School of Cooking, 1882.",Cookbook,https://hdl.handle.net/2027/loc.ark:/13960/t01z4p81m
Juliet Corson,New York,Miss Corson's Cooking Manual,"New York: Dodd, Mead & Co., 1886.",Cookbook,https://hdl.handle.net/2027/loc.ark:/13960/t79s2dj7q
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,"Miss Priscilla Hunter ; and, My Daughter Susan","Boston: D. Lothrop Co., 1879.",Novel,https://hdl.handle.net/2027/mdp.39015082155154
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Mary Burton Abroad,"Boston: D. Lothrop and Co., 1882.",Stories,https://hdl.handle.net/2027/mdp.39015082155170
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Mrs. Harry Harper's Awakening,"Boston: D. Lothrop and Co., 1881.",Novel,https://hdl.handle.net/2027/mdp.39015082155196
"Pansy; Isabella Pansy Alden; Mrs. G.R. Alden; Faye Huntington, Theodosia Maria Toll Foster, Aunt Penn",New York,Modern Prophets and Other Sketches,"Boston: Lothrop Publishing Company, 1874.",Stories,https://hdl.handle.net/2027/hvd.hn1iii
Laura C. Holloway; Laura Holloway-Langford; Laura Carter Holloway Langford,New York,Mothers of Great Men and Women; and Some Wives of Great Men,"New York: Funk & Wagnalls, 1883.",Biography,https://hdl.handle.net/2027/hvd.rslfed
"Faye Huntington, Theodosia Maria Toll Foster, Aunt Penn",New York,Mrs. Deane's Way,"Boston:  D. Lothrop and Co., 1875",Novel,
Mrs. Ella Farman; Ella Farman; Eliza Anna Farman,New York,Mrs. Hurd's Niece; Six Months of a Girl's Life,"Boston: D. Lothrop, 1876.",Novel,
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Next Things and Dorrie's Day,"Boston: D. Lathrop, 1880.",Novel,https://hdl.handle.net/2027/umn.31951002376403i
Helen K. Johnson; Mrs. Rossiter Kendrick,New York,Nutshell Series,"New York: G. P. Putnam's Sons, 1885",Poetry,
Helen K. Johnson; Mrs. Rossiter Kendrick,New York,Our Familiar Songs and Those Who Made Them,"New York: Henry Holt, 1881",Music,https://hdl.handle.net/2027/mdp.39015009718035
Harriette A. Keyser,New York,On the Border Land,"New York: G.P. Putnam's Sons, 1882.",Novel,https://hdl.handle.net/2027/wu.89097993687
Annie M. Enright,New York,One Thousand Examples designed as supplementary work for the primary and intermediate grades of the public schools,"Rochester, N.Y., Published by the author, 1882.",Textbook,
Grace Denio Litchfield,New York,Only an Incident,"New York: G. P. Putnam's Sons, 1883.",Novel,https://hdl.handle.net/2027/uc2.ark:/13960/t4sj1b655
Helen K. Johnson; Mrs. Rossiter Kendrick,New York,Our Little Men and Women: illustrated stories and poems for youngest readers,,Periodical,
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Pansies And Other Stories,"Boston: D. Lathrop and Co, 1878. ",Stories,
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Pansy's Scrap-Book,"Boston: D. Lothrop, 1883.",Religious Instruction,https://hdl.handle.net/2027/chi.39698961
Mrs. E. G. Greene,New York,Pathfinder for the Organization and Work of the Woman's Christian Temperance Union,"New York: National Temperance Society and Publication House, 1884.",Textbook,Available via EBSCOhost
Mrs. M. E. Sangster; Margaret Elizabeth Munson; Margaret E. Sangster,New York,Poems ,"Boston: James R. Osgood and Company, 1882.",Poetry,https://hdl.handle.net/2027/loc.ark:/13960/t7vm4t30g
Helen K. Johnson; Mrs. Rossiter Kendrick,New York,Illustrated Poems and Songs for Young People,"New York: G. Routledge and Sons, 1884.","Poetry, Music",https://archive.org/details/illustratedpoems00john
Anna C. Brackett;  Ida M. Eliot; Ida M. Eliot Gifford,New York,Poetry for Home and School,"New York: G. P. Putnam's Sons, 1876.",Poetry,https://hdl.handle.net/2027/hvd.hn3aib
C. A. Janvier,New York,Practical Ceramics for Students,"New York: Henry Holt, 1880.",Textbook,
"Grace Greenwood;  Sarah J. (Sarah Jane) Clarke, Mrs.  L. K. Lippincott",New York,Queen Victoria: Her Girlhood and Womanhood,"New York: J. R. Anderson & H. S. Allen, 1883.",Biography,https://hdl.handle.net/2027/mdp.39015014713534
V. C. Titcomb,New York,Record for the Sick-Room,,,
C. F. Bates;  Charlotte Fiske Bates Rogé,New York,Risk and Other Poems,"Boston: A. Williams and Co., 1879.",Poetry,https://hdl.handle.net/2027/nyp.33433066643911
"Jennie M. Parker, J.M. Parker, Jane Marsh Parker, Pamella Jane Marsh",New York,Rochester; a Story Historical,"Rochester, NY: Scrantom, Wetmore and company, 1884.",Novel,https://hdl.handle.net/2027/loc.ark:/13960/t7hq4593p
Helen K. Johnson; Mrs. Rossiter Kendrick,New York,Roddy's Romance,"New York: Putnam, 1874.",Novel,https://hdl.handle.net/2027/wu.89097995674
Helen K. Johnson; Mrs. Rossiter Kendrick,New York,Roddy's Reality,"New York: G.P. Putnam's Sons, 1875.",Novel,https://hdl.handle.net/2027/osu.32435018288514
Helen K. Johnson; Mrs. Rossiter Kendrick,New York,Roddy's Ideal,"New York: G.P. Putnam's Sons, 1880.",Novel,
 S. J. (Sarah Jerusha) Cornwall,New York,Roses and Myrtles,"New York: D. Appleton and Company, 1881.",Poetry,https://hdl.handle.net/2027/uc2.ark:/13960/t7qn60p9c
Susan F. Cooper,New York,Rural Hours,"New York: Putnam, 1851.",Memoir,https://hdl.handle.net/2027/uc1.31175033092472
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Ruth Erskine's Crosses,"London; G. Routledge and sons, 1879. ",Novel,https://hdl.handle.net/2027/wu.89098869183
C. F. Bates;  Charlotte Fiske Bates Rogé; Charlotte F. Bates,New York,"Seven Voices of Sympathy, from the Writings of H.W. Longfellow","Boston: Houghton, Mifflin & Co.,1882.",Poetry,https://hdl.handle.net/2027/uc1.31822011410719
Louise J. Kirkwood,New York,"Illustrated Sewing Primer, with Songs and Music for Schools and Families","New York: American Book Co., 1881.",Textbook,https://hdl.handle.net/2027/mdp.39015082535348
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Six Little Girls,"Boston: Lothrop Pub. Co., 1879.",Novel,https://hdl.handle.net/2027/mdp.39015080460507
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Some Young Heroines,"Boston: D. Lothrop and Co., 1882.",Novel,
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Sidney Martin's Christmas,"Boston: D. Lothrop and Co., 1879.",Novel,https://archive.org/details/sydneymartinschr00pansuoft/page/n5
Martha J. Lamb; Martha Joanna Reade Lamb; Aunt Mattie,New York,Snow and Sunshine; A Story for Boys and Girls,"New York: White and Stokes, 1882.",Novel,https://hdl.handle.net/2027/hvd.hw2qcz
Mary Mapes Dodge,New York,"St. Nicholas Magazine; vols. IV., V., VI., VII., VIII., IX., X., XI.",New York: The Century Company,Periodical,https://archive.org/details/stnicholasv10part1dodgrich/page/n3
Mary Alice Brown,New York,Stratford-by-the-Sea,"New York: Henry Holt and Company, 1884.",Novel,https://hdl.handle.net/2027/osu.32435076155753
Helen K. Johnson; Mrs. Rossiter Kendrick,New York,Tears for the Little One: A Collection of Poems and Passages Inspired by the Loss of Children,"Boston: J.R. Osgood and Company, 1878.",Poetry,https://hdl.handle.net/2027/nyp.33433074848833
Mrs. H. R. Haweis,New York,The Art of Beauty,"New York: Harper, 1878.","Textbook, Advice Literature",https://hdl.handle.net/2027/nyp.33433072190915
"Margaret P. Janes, M. P. J.",New York,The Artists' Year: Original and Selected Poems of the Months,"Boston: De Wolfe, Fiske & Co., 1889.",Poetry,https://hdl.handle.net/2027/mdp.39015080243812
Margaret Eytinge,New York,The Ball of the Vegetables and Other Stories in Prose and Verse,"New York: Harper & Brothers, 1883.",Poetry,https://hdl.handle.net/2027/hvd.hn31z3
C. F. Bates;  Charlotte Fiske Bates Rogé,New York,The Cambridge Book of Poetry and Song,"New York: Thomas Y. Crowell & Co., 1882.","Poetry, Music",https://hdl.handle.net/2027/uc1.$b27467
,New York,The Century Magazine,"New York: The Century Co., 1882-1913",Periodical,https://hdl.handle.net/2027/hvd.32044092638113
Jenny J. Young.,New York," The Ceramic Art: A Compendium of The History and Manufacture of Pottery and Porcelain

","New York: Harpers & Brothers,1878. ",Textbook,https://hdl.handle.net/2027/mdp.39015016850904
A. B. Berard; Augusta B. Berard ,New York,The Child's History of the United States,"Philadelphia: Cowperthwait & Co., 1883, c1878.","Textbook, History",https://hdl.handle.net/2027/njp.32101064004243
Mrs. Ella Farman; Ella Farman; Eliza Anna Farman,New York,The Cooking Club of Tu-Whit Hollow ,"Boston: D. Lothrop, 1876.","Novel, Cookbook",https://hdl.handle.net/2027/hvd.rsmaj4
Anna C. Brackett  ,New York,"The Education of American Girls, Considered in a Series of Essays","New York: G. P. Putnam's Sons, 1874.",Essays,http://babel.hathitrust.org/chttps://hdl.handle.net/2027/miun.age1827.0001.001gi/pt?id=miun.age1827.0001.001;view=1up;seq=11
Laura C. Holloway; Laura Holloway-Langford; Laura Carter Holloway Langford,New York,"The Hearthstone; Or, Life at Home a Household Manual Containing Hints and Helps for Home Making, Home Furnishing, Decoration, Amusements, Together with a Complete Cookery Book","Chicago: Smith & Miller, 1886.","Textbook, Advice Literature, Cookbook",https://hdl.handle.net/2027/wu.89098882814
"Martha J. Lamb, Martha Joanna Reade Nash Lamb; Constance Cary Harrison, Mrs. Burton Harrison, Refugitta",New York,"The History of the City of New York; Its Origin, Rise and Progress ","New York: A.S. Barnes Co., 1877-1896.",History,https://hdl.handle.net/2027/nyp.33433044413270
"Elizabeth Cady Stanton, Susan B. Anthony, Matilda Joslyn Gage",New York, History of Woman's Suffrage,"Rochester, N.Y., Susan B. Anthony, 1886-1902.","History, Report",https://catalog.hathitrust.org/Record/007120043?type%5B%5D=all&lookfor%5B%5D=History%20of%20Woman%27s%20Suffrage&ft=
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,The King's Daughter,"Boston; Lothrop Pub. Co., 1873.",Novel,https://hdl.handle.net/2027/hvd.hn1c7w
Laura C. Holloway; Laura Holloway-Langford; Laura Carter Holloway Langford,New York,"The Ladies of the White House or, In the Home of the Presidents. Being a complete history of the social and domestic lives of the presidents from Washington to the present time--1789-1881","Philadelphia: Bradley & Company, 1881.","Biography, History",https://hdl.handle.net/2027/loc.ark:/13960/t7mp5dr2w
Mrs. A. T. Moe,New York,"The Old Fountain Inn,  and Other Poems","Philadelphia: J.B. Lippincott, 1875.",Poetry,https://hdl.handle.net/2027/loc.ark:/13960/t78s5kj83
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,The Pansy Magazine,"Boston: D. Lothrop, 1874-1896.",Stories,https://www.gutenberg.org/ebooks/45406
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,The Randolphs,"Boston: D. Lothrop & Co., 1876.",Novel,https://hdl.handle.net/2027/nyp.33433082170071
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,The Man of the House,"London; S. W. Partridge, [188-?].",Novel,https://hdl.handle.net/2027/wu.89098868995
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,The Pocket Measure,"Boston: Lothrop Pub. Co., 1881.",Novel,https://hdl.handle.net/2027/mdp.39015082155477
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Three People,"Cincinnati: Western Tract and Book Society, 1871.",Novel,https://hdl.handle.net/2027/njp.32101067627008
"Faye Huntington, Theodosia Maria Toll Foster, Aunt Penn; Pansy;  Isabella Pansy Alden; Mrs. G.R. Alden",New York,Those Boys,"Boston: D. Lothrop Company, 1874.",Novel,https://hdl.handle.net/2027/umn.31951002350907w
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,Two Boys,"Boston: D. Lothrop & Co., 1886",Stories,
"Faye Huntington, Theodosia Maria Toll Foster, Aunt Penn; Pansy; Isabella Pansy Alden; Mrs. G.R. Alden",New York,That Boy Bob and Other Stories,"Boston: D. Lothrop & Company, 1880.",Stories,
Pansy; Isabella Pansy Alden; Mrs. G.R. Alden,New York,The Hall in the Grove,"Boston: D. Lothrop & Co., 1882.",Novel,https://hdl.handle.net/2027/nyp.33433082170147
Mary Putnam Jacobi; Mary Corinna Putnam; Mary Putnam-Jacobi,New York,The Question of Rest for Women during Menstruation ,"New York: G.P. Putnamʼs Sons, 1877.",Advice Literature,https://hdl.handle.net/2027/uc2.ark:/13960/t3kw58n9x
Helen E. Morton,New York,The Rhymes of Ruth Rayne,"Fredonia, N.Y. : W. McKinstry & Son, 1881.",Poetry,https://hdl.handle.net/2027/uc2.ark:/13960/t71v5c459
Alice W. Rollins,New York,The Ring of Amethyst,"New York: G. P. Putnam's Sons, 1878.",Poetry,https://hdl.handle.net/2027/loc.ark:/13960/t74t75b4c
"M. E. W. Sherwood, Mrs. John Sherwood, E. W. (Elizabeth Wilson) Sherwood, Mary Wilson",New York,"The Sarcasm of Destiny, or, Nina's Experience","New York: D. Appleton and Company, 1878.",Novel,https://hdl.handle.net/2027/nyp.33433076081680
